category,img_url,product_id,product_name,price
綠茶．烏龍茶．其他茶飲,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw9fd4cbe0/images/large/0238944_-250ml.png?sw=300&bgcolor=FFFFFF,1003502800106,光泉正庄冬瓜茶 250ml,45.0
茶飲．咖啡,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw9ed720d8/images/large/1003209200106.png?sw=300&bgcolor=FFFFFF,1003209200106,義美經典奶茶 250ml,59.0
蔬果汁,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw375d981d/images/large/0014915_ct300ml.jpeg?sw=300&bgcolor=FFFFFF,1001101600106,黑松蘋果汁-TP300ml,43.0
茶飲．咖啡,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw76d89f75/images/large/0124496_t250ml.jpeg?sw=300&bgcolor=FFFFFF,1003201100106,阿薩姆草莓奶茶TP250ml,48.0
蔬果汁,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwa76a3d30/images/large/0127366_300ml.jpeg?sw=300&bgcolor=FFFFFF,1001406900106,波蜜芭樂汁300ml,48.0
甜餅乾,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwe0271138/images/large/1410501300101_NR_00.jpg?sw=300&bgcolor=FFFFFF,1410501300101,明治洋洋巧克力棒餅乾,28.0
機能飲料,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw2215cf5f/images/large/0192394_ca335ml.jpeg?sw=300&bgcolor=FFFFFF,1002101200106,舒跑(中)Can335ml,82.0
蔬果汁,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwb8483dac/images/large/0124488_t250ml.jpeg?sw=300&bgcolor=FFFFFF,1001000400106,紅牌速纖纖維飲料TP250ml,40.0
綠茶．烏龍茶．其他茶飲,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dw32a25232/watermark/0601-indexbanner-tqf.png,1003302200101,光泉冷泡茶冷萃綠茶無糖-1235ml,34.0
紅茶．花茶．水果茶,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw863b123c/images/large/1003403900106.png?sw=300&bgcolor=FFFFFF,1003403900106,雀巢茶品翡翠檸檬蜜茶300ml ,46.0
紅茶．花茶．水果茶,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwce8adafb/images/large/0226538_t250ml.jpeg?sw=300&bgcolor=FFFFFF,1003400300106,茉莉茶園茉香柚茶 250ml,44.0
綠茶．烏龍茶．其他茶飲,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw996b06c1/images/large/0003044_-t250ml.jpeg?sw=300&bgcolor=FFFFFF,1003503500106,愛之味麥仔茶 TP250ml,38.0
綠茶．烏龍茶．其他茶飲,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw02612ba8/images/large/0125059_t-250ml.jpeg?sw=300&bgcolor=FFFFFF,1003001300106,開喜凍頂烏龍茶微糖TP 250ml,38.0
茶飲．咖啡,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw5917c6b8/images/large/1003201900124.jpg?sw=300&bgcolor=FFFFFF,1003201900106,午后時光阿薩姆奶茶250ml,42.0
紅茶．花茶．水果茶,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw836591be/images/large/1003100500106.jpg?sw=300&bgcolor=FFFFFF,1003100500106,御茶園特上紅茶250ml,45.0
蔬果汁,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw57e1d55d/images/large/0187757_ct300ml.jpeg?sw=300&bgcolor=FFFFFF,1001403300106,黑松蜜桃C/TP300ml,43.0
鹹餅乾,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw17dce16d/images/large/1401111500101.png?sw=300&bgcolor=FFFFFF,1401111500112,[箱購] 卡那四重脆海苔哇沙米口味 92g克 x 12Bag包/箱,432.0
綠茶．烏龍茶．其他茶飲,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwd7ac0013/images/large/0023991_t-250ml.jpeg?sw=300&bgcolor=FFFFFF,1003001300124,開喜凍頂烏龍茶微糖TP 250ml,152.0
茶飲．咖啡,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwa7348319/images/large/0222766_250ml.jpeg?sw=300&bgcolor=FFFFFF,1003201600124,御茶園特上奶茶250ml,175.0
甜餅乾,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dw9f8cd3df/watermark/200x200-cvs.png-new.png,1413107300101,義美香濃花生夾心酥400g,92.0
綠茶．烏龍茶．其他茶飲,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw0d4fa731/images/large/1003301100104.jpg?sw=300&bgcolor=FFFFFF,1003301100104,光泉冷泡綠茶無糖-585ml,69.0
汽水,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw6258e77e/images/large/0018931_2l.jpeg?sw=300&bgcolor=FFFFFF,1000100800101,黑松汽水2L,39.0
